Provinsi,Tahun,Jagung,Kedelai
Aceh,2021,57.68,
Sumatera Utara,2021,61.92,13.55
Sumatera Barat,2021,65.49,
Riau,2021,38.66,8.85
Jambi,2021,60.36,19.75
Sumatera Selatan,2021,61.37,
Bengkulu,2021,65.53,
Lampung,2021,66.61,14.52
Kep. Bangka Belitung,2021,50.4,
Kep. Riau,2021,19.02,29.87
DKI Jakarta,2021,,
Jawa Barat,2021,71.39,14.47
Jawa Tengah,2021,61.59,18.73
DI Yogyakarta,2021,52.45,12.81
Jawa Timur,2021,57.51,17.02
Banten,2021,67.48,5.97
Bali,2021,44.86,15.84
NTB,2021,67.7,15.19
NTT,2021,26.66,13.7
Kalimantan Barat,2021,51.69,27.7
Kalimantan Tengah,2021,51.45,
Kalimantan Selatan,2021,57.94,
Kalimantan Timur,2021,54.71,
Kalimantan Utara,2021,43.11,
Sulawesi Utara,2021,42.36,
Sulawesi Tengah,2021,45.39,10.98
Sulawesi Selatan,2021,54.96,22.57
Sulawesi Tenggara,2021,36.99,17.21
Gorontalo,2021,48.72,
Sulawesi Barat,2021,51.78,32.62
Maluku,2021,35.53,
Maluku Utara,2021,54.36,
Papua Barat,2021,43.6,
Papua,2021,48.94,19.35
Aceh,2022,57.3,
Sumatera Utara,2022,63.96,
Sumatera Barat,2022,65.73,
Riau,2022,44.38,11.7
Jambi,2022,61.37,17.12
Sumatera Selatan,2022,65.47,9.18
Bengkulu,2022,68.67,
Lampung,2022,63.6,16.8
Kep. Bangka Belitung,2022,40.18,
Kep. Riau,2022,39.83,
DKI Jakarta,2022,,
Jawa Barat,2022,75.23,13.43
Jawa Tengah,2022,59.68,18.5
DI Yogyakarta,2022,50.71,13.8
Jawa Timur,2022,58.12,16.05
Banten,2022,76.01,
Bali,2022,49.39,15.57
NTB,2022,72.48,10.38
NTT,2022,25.02,11.47
Kalimantan Barat,2022,44.11,9.5
Kalimantan Tengah,2022,41.31,17.96
Kalimantan Selatan,2022,60.73,
Kalimantan Timur,2022,50.17,
Kalimantan Utara,2022,41.08,
Sulawesi Utara,2022,32.9,
Sulawesi Tengah,2022,45.45,9.37
Sulawesi Selatan,2022,57.18,16.61
Sulawesi Tenggara,2022,36.72,20.1
Gorontalo,2022,48.65,44.58
Sulawesi Barat,2022,52.63,
Maluku,2022,51.6,
Maluku Utara,2022,47.44,
Papua Barat,2022,39.64,
Papua,2022,38.33,16.83
Aceh,2023,55.42,
Sumatera Utara,2023,60.68,10.27
Sumatera Barat,2023,63.69,
Riau,2023,45.63,
Jambi,2023,65.28,17.99
Sumatera Selatan,2023,59.75,
Bengkulu,2023,63.63,
Lampung,2023,63.9,17.88
Kep. Bangka Belitung,2023,17.1,
Kep. Riau,2023,26.85,
DKI Jakarta,2023,,
Jawa Barat,2023,72.38,13.32
Jawa Tengah,2023,59.38,15.69
DI Yogyakarta,2023,65.29,13.33
Jawa Timur,2023,60.75,16.08
Banten,2023,68.11,
Bali,2023,49.19,15.17
NTB,2023,67.77,9.71
NTT,2023,26.73,6.97
Kalimantan Barat,2023,41.88,12.91
Kalimantan Tengah,2023,36.95,21.37
Kalimantan Selatan,2023,53.07,
Kalimantan Timur,2023,54.62,
Kalimantan Utara,2023,45.94,6.2
Sulawesi Utara,2023,34.54,12.52
Sulawesi Tengah,2023,44.51,9.35
Sulawesi Selatan,2023,53.12,11.15
Sulawesi Tenggara,2023,32.25,18.05
Gorontalo,2023,41.21,
Sulawesi Barat,2023,51.22,16.14
Maluku,2023,38.16,13.21
Maluku Utara,2023,35.13,
Papua Barat,2023,37.51,
Papua Barat Daya,2023,59.71,
Papua,2023,52.06,
Papua Selatan,2023,,
Papua Tengah,2023,35.15,
Papua Pegunungan,2023,,
Aceh,2024,51.78,
Sumatera Utara,2024,65.24,36.59
Sumatera Barat,2024,61.76,
Riau,2024,34.83,7.08
Jambi,2024,69.56,30.46
Sumatera Selatan,2024,63.76,
Bengkulu,2024,63.76,17.2
Lampung,2024,65.15,20.96
Kepulauan Bangka Belitung,2024,,
Kepulauan Riau,2024,48.19,
DKI Jakarta,2024,,
Jawa Barat,2024,72.35,16.66
Jawa Tengah,2024,58.85,17.24
DI Yogyakarta,2024,50.44,12.61
Jawa Timur,2024,62.18,17.48
Banten,2024,60.02,18.24
Bali,2024,50.92,16.45
Nusa Tenggara Barat,2024,69.62,10.2
Nusa Tenggara Timur,2024,26.93,8.12
Kalimantan Barat,2024,46.49,12.67
Kalimantan Tengah,2024,52.17,9.76
Kalimantan Selatan,2024,58.32,
Kalimantan Timur,2024,43.02,
Kalimantan Utara,2024,50.4,
Sulawesi Utara,2024,37.35,13.58
Sulawesi Tengah,2024,44.49,12.53
Sulawesi Selatan,2024,59.24,15.18
Sulawesi Tenggara,2024,39.46,16.75
Gorontalo,2024,48.82,
Sulawesi Barat,2024,50.33,27.57
Maluku,2024,33.86,23.32
Maluku Utara,2024,34.41,
Papua Barat,2024,49.69,
Papua Barat Daya,2024,52.07,
Papua,2024,39.52,
Papua Selatan,2024,51.34,
Papua Tengah,2024,40.49,20.52
Papua Pegunungan,2024,51.23,
